tube_id,x,y,z,r,theta,dir_x,dir_y,dir_z,region
19615,2682.8,847.2,-3296.471111111,2813.390068938184,0.30587887140485215,0.0,0.0,1.0,bottom_cap
19614,2682.8,988.4,-3296.471111111,2859.082090461902,0.35299038782691045,0.0,0.0,1.0,bottom_cap
19613,2682.8,1129.6,-3296.471111111,2910.9125716860685,0.3985224456664202,0.0,0.0,1.0,bottom_cap
19612,2682.8,1270.8,-3296.471111111,2968.560001077964,0.4423742229767449,0.0,0.0,1.0,bottom_cap
19611,2682.8,1412.0,-3296.471111111,3031.6925701660452,0.4844779290370232,0.0,0.0,1.0,bottom_cap
19610,2682.8,1553.2,-3296.471111111,3099.9751740941415,0.5247957716501073,0.0,0.0,1.0,bottom_cap
19609,2682.8,1694.4,-3296.471111111,3173.0753536592856,0.5633162614919681,0.0,0.0,1.0,bottom_cap
19608,2612.2,-1765.0,-3296.471111111,3152.5884349213743,-0.5942137038004339,0.0,0.0,1.0,bottom_cap
19607,2612.2,-1623.8,-3296.471111111,3075.7625526038255,-0.556166230120453,0.0,0.0,1.0,bottom_cap
19606,2612.2,-1482.6,-3296.471111111,3003.6130909289895,-0.5162306706117479,0.0,0.0,1.0,bottom_cap
19605,2612.2,-1341.4,-3296.471111111,2936.4847692436615,-0.4743998827919074,0.0,0.0,1.0,bottom_cap
19604,2612.2,-1200.2,-3296.471111111,2874.7293576961292,-0.43069251138650805,0.0,0.0,1.0,bottom_cap
19603,2612.2,-1059.0,-3296.471111111,2818.7000266080104,-0.3851575063634742,0.0,0.0,1.0,bottom_cap
19602,2612.2,-917.8,-3296.471111111,2768.7444230192136,-0.33787818824027843,0.0,0.0,1.0,bottom_cap
19601,2612.2,-776.6,-3296.471111111,2725.196580065372,-0.28897540999256643,0.0,0.0,1.0,bottom_cap
19600,2612.2,-635.4,-3296.471111111,2688.3679063699597,-0.23860932250820097,0.0,0.0,1.0,bottom_cap
19599,2612.2,-494.2,-3296.471111111,2658.5376581872974,-0.18697926991891112,0.0,0.0,1.0,bottom_cap
19598,2612.2,-353.0,-3296.471111111,2635.9434440063387,-0.13432144195296852,0.0,0.0,1.0,bottom_cap
19597,2612.2,-211.8,-3296.471111111,2620.7724204898063,-0.0809040991552306,0.0,0.0,1.0,bottom_cap
19596,2612.2,-70.6,-3296.471111111,2613.1538798930305,-0.02702044918726479,0.0,0.0,1.0,bottom_cap
19595,2612.2,70.6,-3296.471111111,2613.1538798930305,0.02702044918726479,0.0,0.0,1.0,bottom_cap
19594,2612.2,211.8,-3296.471111111,2620.7724204898063,0.0809040991552306,0.0,0.0,1.0,bottom_cap
19593,2612.2,353.0,-3296.471111111,2635.9434440063387,0.13432144195296852,0.0,0.0,1.0,bottom_cap
19592,2612.2,494.2,-3296.471111111,2658.5376581872974,0.18697926991891112,0.0,0.0,1.0,bottom_cap
19591,2612.2,635.4,-3296.471111111,2688.3679063699597,0.23860932250820097,0.0,0.0,1.0,bottom_cap
19590,2612.2,776.6,-3296.471111111,2725.196580065372,0.28897540999256643,0.0,0.0,1.0,bottom_cap
19589,2612.2,917.8,-3296.471111111,2768.7444230192136,0.33787818824027843,0.0,0.0,1.0,bottom_cap
19588,2612.2,1059.0,-3296.471111111,2818.7000266080104,0.3851575063634742,0.0,0.0,1.0,bottom_cap
19587,2612.2,1200.2,-3296.471111111,2874.7293576961292,0.43069251138650805,0.0,0.0,1.0,bottom_cap
19586,2612.2,1341.4,-3296.471111111,2936.4847692436615,0.4743998827919074,0.0,0.0,1.0,bottom_cap
19585,2612.2,1482.6,-3296.471111111,3003.6130909289895,0.5162306706117479,0.0,0.0,1.0,bottom_cap
19584,2612.2,1623.8,-3296.471111111,3075.7625526038255,0.556166230120453,0.0,0.0,1.0,bottom_cap
19583,2612.2,1765.0,-3296.471111111,3152.5884349213743,0.5942137038004339,0.0,0.0,1.0,bottom_cap
19582,2541.6,-1835.6,-3296.471111111,3135.148787537842,-0.625485040239229,0.0,0.0,1.0,bottom_cap
19581,2541.6,-1694.4,-3296.471111111,3054.6230405730917,-0.5880026035475676,0.0,0.0,1.0,bottom_cap
19580,2541.6,-1553.2,-3296.471111111,2978.617263093733,-0.5485494024505281,0.0,0.0,1.0,bottom_cap
19579,2541.6,-1412.0,-3296.471111111,2907.4859518147287,-0.507098504392337,0.0,0.0,1.0,bottom_cap
19578,2541.6,-1270.8,-3296.471111111,2841.5951858067324,-0.4636476090008061,0.0,0.0,1.0,bottom_cap
19577,2541.6,-1129.6,-3296.471111111,2781.31744322722,-0.41822432957922906,0.0,0.0,1.0,bottom_cap
19576,2541.6,-988.4,-3296.471111111,2727.024957714909,-0.37089128881266237,0.0,0.0,1.0,bottom_cap
19575,2541.6,-847.2,-3296.471111111,2679.081633694651,-0.32175055439664224,0.0,0.0,1.0,bottom_cap
19574,2541.6,-706.0,-3296.471111111,2637.8336869484397,-0.27094685033842053,0.0,0.0,1.0,bottom_cap
19573,2541.6,-564.8,-3296.471111111,2603.5993547395115,-0.21866894587394195,0.0,0.0,1.0,bottom_cap
19572,2541.6,-423.6,-3296.471111111,2576.658207834326,-0.16514867741462685,0.0,0.0,1.0,bottom_cap
19571,2541.6,-282.4,-3296.471111111,2557.2407630100065,-0.11065722117389565,0.0,0.0,1.0,bottom_cap
19570,2541.6,-141.2,-3296.471111111,2545.5192004775763,-0.05549850524571683,0.0,0.0,1.0,bottom_cap
19569,2541.6,-0.0,-3296.471111111,2541.6,-0.0,0.0,0.0,1.0,bottom_cap
19568,2541.6,141.2,-3296.471111111,2545.5192004775763,0.05549850524571683,0.0,0.0,1.0,bottom_cap
19567,2541.6,282.4,-3296.471111111,2557.2407630100065,0.11065722117389565,0.0,0.0,1.0,bottom_cap
19566,2541.6,423.6,-3296.471111111,2576.658207834326,0.16514867741462685,0.0,0.0,1.0,bottom_cap
19565,2541.6,564.8,-3296.471111111,2603.5993547395115,0.21866894587394195,0.0,0.0,1.0,bottom_cap
19564,2541.6,706.0,-3296.471111111,2637.8336869484397,0.27094685033842053,0.0,0.0,1.0,bottom_cap
19563,2541.6,847.2,-3296.471111111,2679.081633694651,0.32175055439664224,0.0,0.0,1.0,bottom_cap
19562,2541.6,988.4,-3296.471111111,2727.024957714909,0.37089128881266237,0.0,0.0,1.0,bottom_cap
19561,2541.6,1129.6,-3296.471111111,2781.31744322722,0.41822432957922906,0.0,0.0,1.0,bottom_cap
19560,2541.6,1270.8,-3296.471111111,2841.5951858067324,0.4636476090008061,0.0,0.0,1.0,bottom_cap
19559,2541.6,1412.0,-3296.471111111,2907.4859518147287,0.507098504392337,0.0,0.0,1.0,bottom_cap
19558,2541.6,1553.2,-3296.471111111,2978.617263093733,0.5485494024505281,0.0,0.0,1.0,bottom_cap
19557,2541.6,1694.4,-3296.471111111,3054.6230405730917,0.5880026035475676,0.0,0.0,1.0,bottom_cap
19556,2541.6,1835.6,-3296.471111111,3135.148787537842,0.625485040239229,0.0,0.0,1.0,bottom_cap
19555,2471.0,-2047.4,-3296.471111111,3209.0010532874558,-0.6919213822388589,0.0,0.0,1.0,bottom_cap
19554,2471.0,-1906.2,-3296.471111111,3120.8074980684087,-0.6570749357116535,0.0,0.0,1.0,bottom_cap
19553,2471.0,-1765.0,-3296.471111111,3036.6208192660474,-0.6202494859828215,0.0,0.0,1.0,bottom_cap
19552,2471.0,-1623.8,-3296.471111111,2956.7832927017157,-0.5813801838048998,0.0,0.0,1.0,bottom_cap
19551,2471.0,-1482.6,-3296.471111111,2881.6564264325475,-0.5404195002705842,0.0,0.0,1.0,bottom_cap
